text,target
ខ្ញុំស្រលាញ់ផលិតផលនេះណាស់,positive
មិនពេញចិត្តទេតើអ្វីកើតឡើង?,negative
ផលិតផលមធ្យមៗគ្មានអ្វីពិសេស,neutral
ពលរដ្ឋ៣ភូមិក្នុងស្រុកត្រាំកក់ទទួលបានផ្លូវបេតុងមួយខ្សែដើម្បីសម្រួលដល់ការធ្វើដំណើរ:://,positive
ផ្លូវបេតុងនេះមានប្រវែងជាង១៦០០ម៉ែត្រ,neutral
ប្រជាពលរដ្ឋចំនួន៣ភូមិនឹងលែងជួបការលំបាកក្នុង?ការធ្វើដំណើរ,positive
សិស្សានុសិស្សដែលធ្វើដំណើរឆ្លងកាត់នឹងទទួលបានភាពងាយស្រួល,positive
អាជ្ញាធរស្រុកត្រាំកក់បានបើកការដ្ឋានសាងសង់ផ្លូវបេតុងមួយខ្សែ,positive
ផ្លូវបេតុងនេះមានប្រវែង១៦៣៧ម៉ែត្រ//,neutral
ពិធីបើកការដ្ឋានធ្វើឡើងក្រោមអធិបតីភាពលោកកេតម៉ៅ,neutral
លោកកេតម៉ៅជាអភិបាលនៃគណៈអភិបាលស្រុកត្រាំកក់,neutral
គម្រោងផ្លូវនេះជាគម្រោងមូលនិធិឃុំលាយបូរឆ្នាំ២០២៥,neutral
ផ្លូវមានទទឹង៦ម៉ែត្រនិងកម្រាស់១៥០ម៉ែត្រ,neutral
ផ្លូវនេះស្ថិតនៅក្នុងភូមិត្រពាំងព្រីង,neutral
ផ្លូវនេះក៏ស្ថិតនៅក្នុងភូមិអង្គគគីរ,neutral
ការសាងសង់ផ្លូវនេះឆ្លើយតបនឹងការទន្ទឹងរង់ចាំរបស់ប្រជាពលរដ្ឋ,positive
ផ្លូវបេតុងនេះជួយសម្រួលដល់ការធ្វើដំណើរប្រចាំថ្ងៃ,positive
ផ្លូវថ្មីនេះជួយបង្កើនសុវត្ថិភាពក្នុងរដូវវស្សា,positive
លោកកេតម៉ៅបានបញ្ជាក់ពីការយកចិត្តទុកដាក់របស់អាជ្ញាធរ,positive
អាជ្ញាធរមូលដ្ឋានយកចិត្តទុកដាក់ចំពោះតម្រូវការប្រជាពលរដ្ឋ,positive
លោកបានជំរុញឱ្យក្រុមការងារបច្ចេកទេសធ្វើការងារដោយគុណភាព,positive
ក្រុមហ៊ុនសាងសង់ត្រូវអនុវត្តតាមលក្ខណៈបច្ចេកទេស,neutral
គម្រោងត្រូវបញ្ចប់ឱ្យទាន់ពេលវេលាកំណត់,neutral
ការសាងសង់នេះផ្តល់ប្រយោជន៍ដល់ប្រជាពលរដ្ឋក្នុងមូលដ្ឋាន,positive
គម្រោងនេះបង្ហាញពីការប្តេជ្ញាចិត្តរបស់អាជ្ញាធរមូលដ្ឋាន,positive
អាជ្ញាធរបម្រើសេវាសាធារណៈដល់ប្រជាពលរដ្ឋ,positive
គម្រោងនេះមានគោលបំណងលើកកម្ពស់ជីវភាពប្រជាពលរដ្ឋ,positive
លោកកេតម៉ៅបានបួងសួងសុវត្ថិភាពដល់កងទ័ព,neutral
លោកបានបួងសួងដល់ប្រជាពលរដ្ឋនៅតាមបន្ទាត់ព្រំដែន,neutral
ការបួងសួងនេះពាក់ព័ន្ធនឹងព្រំដែនកម្ពុជាថៃ,neutral
លោកបានសូមឱ្យមានសុខសុវត្ថិភាពសម្រាប់មន្ត្រីរាជការនិងសិស្សានុសិស្ស,positive
នគរបាលព្រហ្មទណ្ឌឃាត់ខ្លួនជនសង្ស័យចំនួន៤នាក់,negative
ជនសង្ស័យត្រូវបានឃាត់ខ្លួនពាក់ព័ន្ធនឹងការលួចទូរស័ព្ទ,negative
ការលួចនេះកើតឡើងនៅផ្លូវថ្មើរជើងចតុមុខ,negative
ជនរងគ្រោះជាភ្ញៀវទេសចរណ៍មកដើរកម្សាន្ត,negative
ករណីលួចទូរស័ព្ទមានចំនួន៩ករណី,negative
នគរបាលបានអនុវត្តតាមបទបញ្ជារបស់ថ្នាក់ដឹកនាំ,neutral
ការឃាត់ខ្លួនធ្វើឡើងនៅថ្ងៃទី០៨ខែធ្នូឆ្នាំ២០២៥,positive
ជនសង្ស័យមានអាយុចន្លោះពី២០ឆ្នាំដល់៣៤ឆ្នាំ,neutral
នគរបាលបានដកហូតទូរស័ព្ទចំនួន៩គ្រឿង,positive
ទូរស័ព្ទដែលដកហូតបានមានម៉ាក iPhone ច្រើនប្រភេទ,neutral
ទូរស័ព្ទរួមមាន iPhone 15 Plus និង iPhone 16 Plus,neutral
នគរបាលបានប្រគល់ទូរស័ព្ទជូនជនរងគ្រោះចំនួន៧នាក់,positive
នៅសល់ជនរងគ្រោះចំនួន២នាក់ទៀត,negative
សមត្ថកិច្ចកំពុងស្វែងរកជនរងគ្រោះបន្ថែម,neutral
នគរបាលបានអំពាវនាវឱ្យជនរងគ្រោះមកទទួលទូរស័ព្ទ,neutral
ជនរងគ្រោះត្រូវមកកាន់ស្នងការដ្ឋាននគរបាលរាជធានីភ្នំពេញ,neutral
ការទទួលទូរស័ព្ទធ្វើឡើងនៅការិយាល័យនគរបាលព្រហ្មទណ្ឌ,neutral
នគរបាលបានបន្តនីតិវិធីតាមច្បាប់,neutral
ករណីនេះស្ថិតក្រោមការស៊ើបអង្កេតរបស់សមត្ថកិច្ច,neutral
សម្ដេចហ៊ុនសែនប្រកាសថាកម្ពុជាកំណត់បន្ទាត់ក្រហមដែលត្រូវឆ្លើយតបទៅថៃរួចហើយ,negative
សម្ដេចតេជោបានប្រាប់កងកម្លាំងនិងពលរដ្ឋអំពីស្ថានការណ៍តានតឹងតាមព្រំដែន,negative
កម្ពុជាបានកំណត់បន្ទាត់ក្រហមសម្រាប់ការឆ្លើយតប,negative
សម្ដេចបានលុបចោលកម្មវិធីការងារផ្សេងៗ,neutral
សម្ដេចមកបញ្ជាកម្លាំងប្រដាប់អាវុធដោយផ្ទាល់,positive
កម្លាំងជួរមុខត្រូវមានការអត់ធ្មត់,neutral
យោធាថៃបានប្រើអាវុធគ្រប់ប្រភេទបាញ់មកលើកម្លាំងកម្ពុជា,negative
ការបាញ់មានគោលបំណងទាញឱ្យកម្ពុជាតបត,negative
មេបញ្ជាការត្រូវអប់រំនាយទាហានឱ្យយល់ដឹង,neutral
អាជ្ញាធរត្រូវជួយប្រជាជនដែលភៀសសឹក,positive
ប្រជាជនត្រូវបានជួយឱ្យទៅកាន់តំបន់មានសុវត្ថិភាព,positive
សម្ដេចបានសុំការយោគយល់ពីភ្ញៀវជាតិនិងអន្តរជាតិ,neutral
កីឡាករខ្មែរនឹងចូលរួមស៊ីហ្គេមនៅប្រទេសថៃជាធម្មតា,positive
ព្រះមហាក្សត្របានប្រគល់សិទ្ធិជូនសម្ដេចហ៊ុនសែន,neutral
សម្ដេចមានភារកិច្ចទាក់ទងនឹងការពារជាតិ,neutral
យោធាថៃបានបើកការបាញ់ប្រហារនៅខេត្តព្រះវិហារ,negative
ការបាញ់ប្រហារបានបន្តរយៈពេលជាច្រើននាទី,negative
កម្ពុជាបានទាក់ទងឱ្យបញ្ឈប់ការបាញ់,neutral
យោធាថៃបន្តបាញ់នៅពេលយប់,negative
កងទ័ពកម្ពុជាមិនបានតបត,neutral
ការបាញ់បានកើតឡើងនៅតំបន់ប្រាសាទ,negative
ការបាញ់ប្រហារប្រើរថក្រោះ,negative
តំបន់ស៊ីវិលត្រូវបានគំរាមកំហែង,negative
សម្ដេចតេជោលើកទឹកចិត្តឱ្យទិញស្រូវពីកសិករ,positive
ស្រូវថ្មីត្រូវបានដាល់អំបុកយកទៅចែក,positive
អំបុកត្រូវចែកជូនកងទ័ពនិងជនភៀសសឹក,positive
កងទ័ពសុំជំនួយអំបុកល្អជាងមី,neutral
សម្ដេចលើកទឹកចិត្តឱ្យវេចខ្ចប់តូចៗ,neutral
ការវេចខ្ចប់១ឬ២គីឡូមានភាពងាយស្រួល,neutral
សម្ដេចផ្តាំផ្ញើការសាកសួរសុខទុក្ខ,positive
កងកម្លាំងប្រដាប់អាវុធការពារទឹកដីដោយអង់អាច,positive
ប្រជាជនភៀសសឹករងផលប៉ះពាល់ពីការបាញ់,negative
យោធាថៃបាញ់មិនរើសគោលដៅ,negative
ទីតាំងស៊ីវិលត្រូវបានវាយប្រហារ,negative
សម្ដេចចូលរួមការលំបាកជាមួយប្រជាជន,positive
សម្ដេចអរគុណសប្បុរសជន,positive
សប្បុរសជនបានចូលរួមជាសម្ភារៈនិងថវិកា,positive
ជំនួយត្រូវបានចែកជូនកងទ័ព,positive
ជំនួយត្រូវបានចែកជូនជនភៀសសឹក,positive
កូនខ្មែរដំបូងគេជាប់ឈ្មោះជាទូតនិស្សិតជាន់ខ្ពស់,positive
លោកសុខទីហ៊ុយជានិស្សិតអនុបណ្ឌិតឆ្នើម,positive
លោកសិក្សានៅក្រៅប្រទេស,neutral
លោកជាសមាជិកគោលនយោបាយសាធារណៈ,neutral
ស្ថាប័ន Chatham House មានមូលដ្ឋាននៅអង់គ្លេស,neutral
លោកមានឱកាសជួបថ្នាក់ដឹកនាំពិភពលោក,positive
លោកបានចូលរួមវេទិកាពិភាក្សាអន្តរជាតិ,neutral
លោកបានជួបប្រធានាធិបតីនិងនាយករដ្ឋមន្ត្រីជាច្រើន,neutral
លោកបានចោទសួរសំណួរនៅវេទិកា,neutral
សំណួរពាក់ព័ន្ធនឹងអនាគតអាស៊ាន,neutral
លោកលីស៊ានឡុងបានឆ្លើយតបសំណួរ,positive
ចម្លើយពាក់ព័ន្ធនឹងទំនាក់ទំនងអាមេរិកនិងអាស៊ាន,neutral
អាស៊ានមានស្ថានភាពពាណិជ្ជកម្មខុសគ្នា,neutral
ប្រទេសអាស៊ានត្រូវរៀបចំជំនួបផ្ទាល់ខ្លួន,neutral
ការចរចាជាក្រុមមិនមែនងាយស្រួល,neutral
លោកទីហ៊ុយធ្លាប់បំពេញការងារនៅស្ថានទូតកម្ពុជា,neutral
លោកបានបំពេញការងារនៅព្រឹទ្ធសភា,neutral
លោកជាសមាជិកគោលនយោបាយសាធារណៈខ្មែរដំបូងគេ,positive
Chatham House ជាស្ថាប័នគោលនយោបាយឈានមុខគេ,positive
វេទិកានេះលើកទឹកចិត្តភាពបើកចំហរ,positive
លោកបានចូលរួមមហាសន្និបាតអង់គ្លេស,neutral
មហាសន្និបាតមានការចូលរួមពីថ្នាក់ដឹកនាំជាច្រើន,neutral
លោកទទួលបានលិខិតថ្លែងអំណរគុណ,positive
លោកទទួលបានវិញ្ញាបនបត្រសរសើរ,positive
ទូរទស្សន៍ TBS ជប៉ុន៖ទាហានថៃប្រើកាំភ្លើងធំលើរថក្រោះបាញ់ចូលលំនៅដ្ឋានពលរដ្ឋកម្ពុជា,negative
ទូរទស្សន៍ TBS ជប៉ុនបានធ្វើការផ្សព្វផ្សាយវីដេអូមួយ,neutral
វីដេអូនោះបង្ហាញអំពីការឈ្លានពានរបស់ទាហានថៃមកលើកម្ពុជា,negative
ទាហានថៃបានបើករថក្រោះចូលក្នុងភូមិអ្នកស្រុក,negative
ការបាញ់ប្រហារបានកំទេចផ្ទះប្រជាពលរដ្ឋស្លូតត្រង់,negative
នេះជាភស្តុតាងថ្មីមួយដែលព័ត៌មានក្រៅស្រុកបានចុះផ្សាយ,neutral
ព័ត៌មានត្រូវបានចុះផ្សាយនៅថ្ងៃទី១១ខែធ្នូឆ្នាំ២០២៥,neutral
TBS ជប៉ុនបានបញ្ជាក់អំពីការប៉ះទង្គិចខ្លាំងក្លា,neutral
ការប៉ះទង្គិចកើតឡើងរវាងកងទ័ពប្រទេសទាំងពីរ,negative
ការប៉ះទង្គិចនៅតំបន់ព្រំដែនថៃ-កម្ពុជានៅតែបន្ត,negative
ជនស៊ីវិលដែលរងគ្រោះកំពុងកើនឡើង,negative
ជនស៊ីវិល៤នាក់នៅខាងថៃបានស្លាប់,negative
ជនស៊ីវិល១០នាក់នៅខាងកម្ពុជាបានស្លាប់,negative
ប្រព័ន្ធផ្សព្វផ្សាយថៃបានរាយការណ៍អំពីវីដេអូបាញ់ពីរថពាសដែក,neutral
វីដេអូបង្ហាញពីទាហានថៃបាញ់ចេញពីរថពាសដែក,negative
រថពាសដែកបានចូលទៅក្នុងតំបន់លំនៅឋានអ្នកស្រុក,negative
ការបាញ់ប្រហារកើតឡើងនៅតំបន់ព្រំដែន,negative
រដ្ឋាភិបាលកម្ពុជាបានប្រកាសអំពីជនស៊ីវិលស្លាប់,neutral
ជនស៊ីវិល១១នាក់រួមទាំងកុមារតូចៗបានស្លាប់,negative
មានជនស៊ីវិល៦០នាក់រងរបួស,negative
ចំនួនជនភៀសខ្លួនលើសពី៥០ម៉ឺននាក់,negative
ជនភៀសខ្លួនមកពីប្រទេសទាំងពីរកំពុងកើនឡើង,negative
ស្ថានការណ៍នៅតំបន់ព្រំដែនមានភាពតានតឹង,negative
លោកដូណាល់ត្រាំជាអ្នកដឹកនាំកិច្ចព្រមព្រៀងសន្តិភាព,neutral
លោកត្រាំចង់ធ្វើការសន្ទនាតាមទូរស័ព្ទ,neutral
ការសន្ទនាគ្រោងធ្វើជាមួយមេដឹកនាំប្រទេសទាំងពីរ,neutral
ការយកចិត្តទុកដាក់ផ្តោតលើលទ្ធភាពឈប់បាញ់,positive
មានការពិភាក្សាអំពីបទឈប់បាញ់,positive
សន្តិភាពគឺជាគោលដៅសំខាន់,positive
ក្រសួងការងារបានប្រឹងប្រែងជួយស្វែងរកការងារឱ្យអតីតពលករ,positive
TAFTAC បានកត់សម្គាល់ពីការខិតខំរបស់ក្រសួងការងារ,positive
ក្រសួងបានជួយបំពេញតម្រូវការកម្លាំងពលកម្ម,positive
មានការខ្វះខាតកម្លាំងពលកម្មពីមុន,neutral
បញ្ហាខ្វះកម្មករត្រូវបានដោះស្រាយ,positive
អតីតពលករត្រឡប់មកពីថៃទទួលបានឱកាសការងារ,positive
លោកកាំងម៉ូនីកាបានវាយតម្លៃវិជ្ជមាន,positive
ក្រសួងបានជួយអស់ពីសមត្ថភាព,positive
ការជួយស្វែងរកការងារបានប្រសិទ្ធភាព,positive
សមាគម TAFTAC បានចូលរួមសកម្មភាពជាច្រើន,neutral
មានការចូលរួមពិព័រណ៍ការងារ,positive
ពិព័រណ៍ការងារធ្វើឡើងតាមបណ្តាខេត្ត,neutral
រោងចក្រជាច្រើនបានចូលរួម,neutral
វិស័យកាត់ដេរត្រូវការកម្លាំងពលកម្មបន្ថែម,neutral
រោងចក្រថ្មីកំពុងបើកដំណើរការ,positive
មានតម្រូវការកម្លាំងពលកម្មជាបន្តបន្ទាប់,neutral
ក្រសួងបានដាក់ចេញវិធានការជាច្រើន,positive
មានការរៀបចំពិព័រណ៍ការងារជិត៦០០លើក,positive
អតីតពលករជាង៣០ម៉ឺននាក់ទទួលបានការងារ,positive
អតីតពលករផ្សេងទៀតធ្វើការនៅសំណង់,neutral
អតីតពលករធ្វើការនៅសិប្បកម្ម,neutral
អតីតពលករធ្វើការនៅភោជនីយដ្ឋាន,neutral
នៅសល់ឱកាសការងារជាង៨ម៉ឺនកន្លែង,positive
ឱកាសការងារស្ថិតក្នុងវិស័យកសិកម្ម,neutral
ឱកាសការងារស្ថិតក្នុងវិស័យឧស្សាហកម្ម,neutral
ឱកាសការងារស្ថិតក្នុងវិស័យសេវាកម្ម,neutral
កម្ពុជា​សម្រេច​ដក​ខ្លួន​ពី​កីឡា​ស៊ីហ្គេម​នៅ​ថៃ,neutral
ការដកខ្លួនធ្វើឡើងជាផ្លូវការ,neutral
ការសម្រេចធ្វើឡើងក្រោយពិធីបើក,neutral
កម្ពុជាបញ្ជូនកីឡា១២ប្រភេទទៅចូលរួម,neutral
ថ្នាក់ដឹកនាំនិងកីឡាករធ្វើដំណើរទៅថៃ,neutral
ប្រតិភូបានចូលរួមពិធីគោរពទង់ជាតិ,neutral
ពិធីបើកធ្វើឡើងនៅថ្ងៃទី៩ខែធ្នូ,neutral
មានការគ្រោងចេញដំណើរប្រកួតកីឡា,neutral
មានការបារម្ភពីហានិភ័យសុវត្ថិភាព,negative
ហានិភ័យសុវត្ថិភាពកាន់តែខ្ពស់,negative
ជម្លោះព្រំដែនកាន់តែអាក្រក់,negative
ថ្នាក់ដឹកនាំសម្រេចដកខ្លួនគ្រប់ប្រភេទកីឡា,neutral
លិខិតផ្លូវការត្រូវបានដាក់ជូន,neutral
កម្ពុជាបំពេញកាតព្វកិច្ចអន្តរជាតិ,positive
កីឡាជាទូតនាំមកសាមគ្គីភាព,positive
កីឡាជាទូតនាំមកមិត្តភាព,positive
កម្ពុជាបានបំពេញភារកិច្ចរួចរាល់,positive
គ្មានស្ថាប័នអន្តរជាតិចោទប្រកាន់កម្ពុជា,positive
ការដកខ្លួនទទួលបានការសាទរ,positive
មហាជនគាំទ្រការសម្រេចចិត្ត,positive
ការសម្រេចផ្តោតលើសុវត្ថិភាព,positive
ប្រជាពលរដ្ឋបារម្ភពីសុវត្ថិភាពអត្តពលិក,neutral
ការពារអត្តពលិកគឺជាអាទិភាព,positive
ថ្នាល verify របស់កម្ពុជាត្រូវបានហ្វីលីពីនយកទៅប្រើលើអត្តសញ្ញាណឌីជីថល,positive
រដ្ឋមន្ត្រីបញ្ជាក់ថា verify មានសក្តានុពលខ្ពស់,positive
verify ត្រូវបានប្រើសម្រាប់ប្រជាជនជាង៩០លាននាក់,positive
ការប្រើ verify បង្ហាញពីជោគជ័យបច្ចេកវិទ្យាកម្ពុជា,positive
verify មានប្រតិបត្តិការជាង១៦៤លានដង,positive
ថ្នាល verify ត្រូវបានប្រើក្នុងក្រសួងចំនួន១៦,neutral
verify ត្រូវបានប្រើក្នុងគ្រឹះស្ថានអប់រំ៣១,neutral
ឯកសារជាង៤លានត្រូវបានផ្ទៀងផ្ទាត់,positive
verify.gov.kh ជួយកាត់បន្ថយការក្លែងបន្លំ,positive
verify ផ្តល់ភាពងាយស្រួលដល់ប្រជាជន,positive
verify ជួយសន្សំពេលវេលា,positive
verify ជួយកាត់បន្ថយចំណាយ,positive
verify គាំទ្របរិវត្តកម្មឌីជីថល,positive
verify ប្រើបច្ចេកវិទ្យាប្លុកឆេន,neutral
QR Code ត្រូវបានប្រើសម្រាប់ផ្ទៀងផ្ទាត់,neutral
ឯកសារមិនចាំបាច់ធ្វើនីត្យានុកូលកម្ម,positive
កម្ពុជាបង្ហាញសមត្ថភាពឌីជីថលអន្តរជាតិ,positive
ហ្វីលីពីនយកបទពិសោធន៍ពីកម្ពុជា,positive
verify ក្លាយជាឧត្តមានុវត្តន៍ក្នុងតំបន់,positive
រដ្ឋាភិបាលជំរុញសេវារដ្ឋាភិបាលឌីជីថល,neutral
កម្ពុជាមាន Startup ជាង២០០,positive
Startup ផ្តល់ដំណោះស្រាយបច្ចេកវិទ្យា,positive
Startup មួយចំនួនបង្កើតចំណូលបាន,positive
Startup ភាគច្រើនពាក់ព័ន្ធដឹកជញ្ជូន,neutral
E-commerce ជាវិស័យពេញនិយម,neutral
FinTech កំពុងរីកចម្រើននៅកម្ពុជា,positive
រដ្ឋាភិបាលគាំទ្រ Startup បច្ចេកវិទ្យា,positive
Startup ផ្នែកអប់រំត្រូវបានលើកទឹកចិត្ត,positive
Startup ផ្នែកកសិកម្មកំពុងកើនឡើង,positive
Startup ផ្នែកសុខាភិបាលត្រូវបានជំរុញ,positive
សាកលវិទ្យាល័យជំរុញគំនិត Startup មានកម្មវិធីភ្ញាស់ Startup ថ្មីមានកម្មវិធីពន្លឿនអាជីវកម្ម,positive
Startup ខ្លះពង្រីកទៅទីផ្សារអន្តរជាតិ,positive
Startup ចូលរួមវេទិកាឌីជីថល២០២៥,neutral
Startup ៣៦ដាក់តាំងផលិតផល,neutral
Startup ស្វែងរកអ្នកវិនិយោគ,neutral
Bookmebus ពង្រីកសេវាកម្មក្នុងតំបន់,positive
Sastra Film មានអ្នកមើលពីជាង១០០ប្រទេស,positive
Morokot មានប្រតិបត្តិការនៅក្រៅប្រទេស,positive
Startup ខ្លះចុះបញ្ជីនៅសិង្ហបុរី,neutral
Startup ជួយសេដ្ឋកិច្ចឌីជីថល,positive
Startup ជួយបង្កើតការងារ,positive
ពាក្យ Startup មានន័យថាធុរកិច្ចថ្មី,neutral
Tech Startup ជាធុរកិច្ចបច្ចេកវិទ្យា,neutral
ហាងកាហ្វេមិនត្រូវបានចាត់ជា Startup,neutral
ម៉ាឡេស៊ីស្នើបទឈប់បាញ់,positive
បទឈប់បាញ់ចាប់ផ្តើមថ្ងៃទី១៣ធ្នូ,neutral
ម៉ោងអនុវត្តបទឈប់បាញ់គឺ២២:០០,neutral
ម៉ាឡេស៊ីអំពាវនាវឲ្យភាគីអត់ធ្មត់,positive
សកម្មភាពយោធាត្រូវផ្អាក,positive
អាស៊ានដាក់ពង្រាយអ្នកសង្កេតការណ៍,positive
ក្រុម AOT ដឹកនាំដោយម៉ាឡេស៊ី,neutral
ប្រើផ្កាយរណបអាមេរិកឃ្លាំមើល,neutral
ការឃ្លាំមើលជួយបន្ថយភាពតានតឹង,positive
របាយការណ៍នឹងបង្ហាញក្នុងកិច្ចប្រជុំអាស៊ាន,neutral
របាយការណ៍មានលក្ខណៈសត្យានុម័ត,positive
ការសង្កេតជួយកសាងទំនុកចិត្ត,positive
ការទូតត្រូវបានលើកកម្ពស់,positive
ម៉ាឡេស៊ីប្តេជ្ញារក្សាសន្តិភាព,positive
អាស៊ានចូលរួមដោះស្រាយជម្លោះ,positive
ភាពតានតឹងនៅព្រំដែននៅតែមាន,negative
មានជម្លោះរវាងកម្ពុជានិងថៃ,negative
តំបន់ព្រំដែនមានហានិភ័យ,negative
